Tarih,TP_DK_USD_S_YTL
2016-08-22,2.9408
2016-08-23,2.9497
2016-08-24,2.9412
2016-08-25,2.9587
2016-08-26,2.9443
2016-08-27,
2016-08-28,
2016-08-29,2.9389
2016-08-30,
2016-08-31,2.9598
2016-09-01,2.9597
2016-09-02,2.9611
2016-09-03,
2016-09-04,
2016-09-05,2.9639
2016-09-06,2.9494
2016-09-07,2.9442
2016-09-08,2.9339
2016-09-09,2.9397
2016-09-10,
2016-09-11,
2016-09-12,
2016-09-13,
2016-09-14,
2016-09-15,
2016-09-16,2.9605
2016-09-17,
2016-09-18,
2016-09-19,2.9731
2016-09-20,2.9793
2016-09-21,2.9794
2016-09-22,2.9792
2016-09-23,2.9521
2016-09-24,
2016-09-25,
2016-09-26,2.9527
2016-09-27,2.99
2016-09-28,2.9763
2016-09-29,2.9818
2016-09-30,3.0013
2016-10-01,
2016-10-02,
2016-10-03,3.0058
2016-10-04,3.009
2016-10-05,3.0348
2016-10-06,3.0592
2016-10-07,3.0561
2016-10-08,
2016-10-09,
2016-10-10,3.056
2016-10-11,3.064
2016-10-12,3.0864
2016-10-13,3.0861
2016-10-14,3.1023
2016-10-15,
2016-10-16,
2016-10-17,3.0922
2016-10-18,3.1013
2016-10-19,3.0984
2016-10-20,3.0841
2016-10-21,3.0731
2016-10-22,
2016-10-23,
2016-10-24,3.0791
2016-10-25,3.078
2016-10-26,3.0835
2016-10-27,3.0831
2016-10-28,3.1054
2016-10-29,
2016-10-30,
2016-10-31,3.1054
2016-11-01,3.108
2016-11-02,3.1037
2016-11-03,3.1173
2016-11-04,3.1181
2016-11-05,
2016-11-06,
2016-11-07,3.1405
2016-11-08,3.1589
2016-11-09,3.1793
2016-11-10,3.1922
2016-11-11,3.2105
2016-11-12,
2016-11-13,
2016-11-14,3.2646
2016-11-15,3.2846
2016-11-16,3.2772
2016-11-17,3.3115
2016-11-18,3.3164
2016-11-19,
2016-11-20,
2016-11-21,3.3896
2016-11-22,3.3803
2016-11-23,3.3644
2016-11-24,3.3885
2016-11-25,3.4108
2016-11-26,
2016-11-27,
2016-11-28,3.4465
2016-11-29,3.4241
2016-11-30,3.4261
2016-12-01,3.4236
2016-12-02,3.4546
2016-12-03,
2016-12-04,
2016-12-05,3.513
2016-12-06,3.5408
2016-12-07,3.5165
2016-12-08,3.4369
2016-12-09,3.373
2016-12-10,
2016-12-11,
2016-12-12,3.4586
2016-12-13,3.5236
2016-12-14,3.4784
2016-12-15,3.4848
2016-12-16,3.522
2016-12-17,
2016-12-18,
2016-12-19,3.5003
2016-12-20,3.501
2016-12-21,3.518
2016-12-22,3.5163
2016-12-23,3.5118
2016-12-24,
2016-12-25,
2016-12-26,3.514
2016-12-27,3.5104
2016-12-28,3.5198
2016-12-29,3.5393
2016-12-30,3.5382
2016-12-31,
2017-01-01,
2017-01-02,3.5255
2017-01-03,3.5402
2017-01-04,3.5802
2017-01-05,3.5829
2017-01-06,3.5999
2017-01-07,
2017-01-08,
2017-01-09,3.6199
2017-01-10,3.7087
2017-01-11,3.7688
2017-01-12,3.8571
2017-01-13,3.8499
2017-01-14,
2017-01-15,
2017-01-16,3.8062
2017-01-17,3.7684
2017-01-18,3.7894
2017-01-19,3.784
2017-01-20,3.8009
2017-01-21,
2017-01-22,
2017-01-23,3.8244
2017-01-24,3.7746
2017-01-25,3.759
2017-01-26,3.8102
2017-01-27,3.8412
2017-01-28,
2017-01-29,
2017-01-30,3.8848
2017-01-31,3.8393
2017-02-01,3.7942
2017-02-02,3.7814
2017-02-03,3.7404
2017-02-04,
2017-02-05,
2017-02-06,3.7489
2017-02-07,3.6851
2017-02-08,3.7162
2017-02-09,3.7478
2017-02-10,3.7114
2017-02-11,
2017-02-12,
2017-02-13,3.6815
2017-02-14,3.6935
2017-02-15,3.656
2017-02-16,3.6528
2017-02-17,3.677
2017-02-18,
2017-02-19,
2017-02-20,3.6728
2017-02-21,3.6277
2017-02-22,3.6251
2017-02-23,3.6169
2017-02-24,3.5811
2017-02-25,
2017-02-26,
2017-02-27,3.5753
2017-02-28,3.5946
2017-03-01,3.6143
2017-03-02,3.6378
2017-03-03,3.6882
2017-03-04,
2017-03-05,
2017-03-06,3.7282
