Tarih,TP_FG_J0,CPI_Monthly
2007-12-01,145.77,0.22000687521486206
2008-01-01,146.94,0.8026342868902914
2008-02-01,148.84,1.2930447801823952
2008-03-01,150.27,0.9607632356893436
2008-04-01,152.79,1.676981433419833
2008-05-01,155.07,1.4922442568230831
2008-06-01,154.51,-0.3611272328625792
2008-07-01,155.4,0.5760144974435333
2008-08-01,155.02,-0.24453024453023886
2008-09-01,155.72,0.45155463811119567
2008-10-01,159.77,2.600821988183921
2008-11-01,161.1,0.8324466420479348
2008-12-01,160.44,-0.409683426443197
2009-01-01,160.9,0.2867115432560574
2009-02-01,160.35,-0.3418272218769447
2009-03-01,162.12,1.1038353601496853
2009-04-01,162.15,0.018504811250918962
2009-05-01,163.19,0.641381436941102
2009-06-01,163.37,0.11030087627919016
2009-07-01,163.78,0.25096406929057125
2009-08-01,163.29,-0.2991818292831905
2009-09-01,163.93,0.39194071896626603
2009-10-01,167.88,2.4095650582565575
2009-11-01,170.01,1.2687634024302952
2009-12-01,170.91,0.5293806246691402
2010-01-01,174.07,1.8489263354982244
2010-02-01,176.59,1.4476934566553634
2010-03-01,177.62,0.5832719859561797
2010-04-01,178.68,0.5967796419322102
2010-05-01,178.04,-0.3581822252070821
2010-06-01,177.04,-0.5616715344866297
2010-07-01,176.19,-0.4801174875734282
2010-08-01,176.9,0.4029740620920652
2010-09-01,179.07,1.226681741096658
2010-10-01,182.35,1.8316859328754154
2010-11-01,182.4,0.027419797093508613
2010-12-01,181.85,-0.3015350877193068
2011-01-01,182.6,0.4124278251306013
2011-02-01,183.93,0.7283680175246499
2011-03-01,184.7,0.4186375251454155
2011-04-01,186.3,0.8662696264212455
2011-05-01,190.81,2.4208266237251586
2011-06-01,188.08,-1.430742623552217
2011-07-01,187.31,-0.4094002552105569
2011-08-01,188.67,0.7260690833377659
2011-09-01,190.09,0.7526368792070803
2011-10-01,196.31,3.2721342521963237
2011-11-01,199.7,1.726860577657785
2011-12-01,200.85,0.5758637956935431
2012-01-01,201.98,0.5626089121234745
2012-02-01,203.12,0.5644123180513105
2012-03-01,203.96,0.4135486411973144
2012-04-01,207.05,1.515002941753285
2012-05-01,206.61,-0.21250905578362733
2012-06-01,204.76,-0.8954068050917252
2012-07-01,204.29,-0.2295370189490109
2012-08-01,205.43,0.5580302511136281
2012-09-01,207.55,1.0319816969283968
2012-10-01,211.62,1.9609732594555451
2012-11-01,212.42,0.3780361024477763
2012-12-01,213.23,0.38132002636286355
2013-01-01,216.74,1.6461098344510816
2013-02-01,217.39,0.2998984958936912
2013-03-01,218.83,0.662403974423853
2013-04-01,219.75,0.4204176758214162
2013-05-01,220.07,0.14562002275313457
2013-06-01,221.75,0.7633934657154562
2013-07-01,222.44,0.3111612175873635
2013-08-01,222.21,-0.10339866930407782
2013-09-01,223.91,0.7650420773142486
2013-10-01,227.94,1.799830288955384
2013-11-01,227.96,0.008774238834785564
2013-12-01,229.01,0.46060712405684434
2014-01-01,233.54,1.9780795598445478
2014-02-01,234.54,0.42819217264709053
2014-03-01,237.18,1.1256075722691383
2014-04-01,240.37,1.344970064929596
2014-05-01,241.32,0.3952240296209997
2014-06-01,242.07,0.3107906514172143
2014-07-01,243.17,0.45441401247572344
2014-08-01,243.4,0.09458403585969055
2014-09-01,243.74,0.13968775677897227
2014-10-01,248.37,1.8995651103635103
2014-11-01,248.82,0.1811813020896169
2014-12-01,247.72,-0.4420866489831976
2015-01-01,250.45,1.1020507024059434
2015-02-01,252.24,0.7147135156718054
2015-03-01,255.23,1.185379004123055
2015-04-01,259.39,1.6299024409356155
2015-05-01,260.85,0.5628590153822666
2015-06-01,259.51,-0.5137051945562687
2015-07-01,259.74,0.0886285692266231
2015-08-01,260.78,0.4004004004003914
2015-09-01,263.11,0.8934734258762234
2015-10-01,267.2,1.554482915890687
2015-11-01,268.98,0.6661676646706693
2015-12-01,269.54,0.20819391776341067
2016-01-01,274.44,1.8179119982191905
2016-02-01,274.38,-0.021862702229991093
2016-03-01,274.27,-0.04009038559662503
2016-04-01,276.42,0.7838990775513199
2016-05-01,278.02,0.5788293177049209
2016-06-01,279.33,0.47118912308468097
2016-07-01,282.58,1.1634983711022784
2016-08-01,281.76,-0.29018331092079963
2016-09-01,282.27,0.181005110732535
2016-10-01,286.33,1.4383391788004296
2016-11-01,287.81,0.5168861104320355
2016-12-01,292.54,1.6434453285153472
2017-01-01,299.74,2.461201886921449
2017-02-01,302.17,0.8107026089277491
2017-03-01,305.24,1.0159843796538448
2017-04-01,309.23,1.3071681299960725
2017-05-01,310.61,0.4462697668402127
2017-06-01,309.78,-0.26721612311260134
2017-07-01,310.24,0.14849247853316871
2017-08-01,311.85,0.5189530685920651
2017-09-01,313.88,0.6509539842873169
2017-10-01,320.4,2.07722696571937
2017-11-01,325.18,1.4918851435705482
2017-12-01,327.41,0.6857740328433559
2018-01-01,330.75,1.0201276686722993
2018-02-01,333.17,0.7316704459561674
2018-03-01,336.48,0.9934868085361925
2018-04-01,342.78,1.8723252496433584
2018-05-01,348.34,1.6220316237820276
2018-06-01,357.44,2.6123901934891336
2018-07-01,359.41,0.5511414503133416
2018-08-01,367.66,2.2954286191257944
2018-09-01,390.84,6.304738073219807
2018-10-01,401.27,2.6686111963974968
2018-11-01,395.48,-1.4429187330226467
2018-12-01,393.88,-0.40457165975523735
2019-01-01,398.07,1.0637757692698369
2019-02-01,398.71,0.16077574295978447
2019-03-01,402.81,1.0283163201324275
2019-04-01,409.63,1.6931059308358698
2019-05-01,413.52,0.9496374777237859
2019-06-01,413.63,0.026600889920680437
2019-07-01,419.24,1.3562846021806907
2019-08-01,422.84,0.858696689247207
2019-09-01,427.04,0.9932835114937255
2019-10-01,435.59,2.002154364930675
2019-11-01,437.25,0.3810923115774134
2019-12-01,440.5,0.7432818753573489
2020-01-01,446.45,1.350737797956869
2020-02-01,448.02,0.3516631201702314
2020-03-01,450.58,0.571403062363296
2020-04-01,454.43,0.8544542589551396
2020-05-01,460.62,1.362145985080221
2020-06-01,465.84,1.133255177803827
2020-07-01,468.56,0.5838914648806481
2020-08-01,472.61,0.8643503500085359
2020-09-01,477.21,0.9733183809060186
2020-10-01,487.38,2.131137235179481
2020-11-01,498.58,2.298001559358198
2020-12-01,504.81,1.2495487183601384
2021-01-01,513.3,1.6818208831045345
2021-02-01,517.96,0.9078511591662064
2021-03-01,523.53,1.0753726156459864
2021-04-01,532.32,1.678986877542843
2021-05-01,537.05,0.8885632702133828
2021-06-01,547.48,1.9420910529746038
2021-07-01,557.36,1.8046321326806503
2021-08-01,563.6,1.1195636572412848
2021-09-01,570.66,1.2526614620298027
2021-10-01,584.32,2.3937195527985233
2021-11-01,604.84,3.5117743702081095
2021-12-01,686.95,13.575491038952459
2022-01-01,763.23,11.104156052114412
2022-02-01,799.93,4.808511195838738
2022-03-01,843.64,5.464228119960501
2022-04-01,904.79,7.248352377791467
2022-05-01,931.76,2.980802175090358
2022-06-01,977.9,4.951918949085599
2022-07-01,1001.03,2.365272522752848
2022-08-01,1015.65,1.4604956894398669
2022-09-01,1046.89,3.0758627479939182
2022-10-01,1084.0,3.5447850299458405
2022-11-01,1115.26,2.8837638376383756
2022-12-01,1128.45,1.1826838584724664
2023-01-01,1203.48,6.648943240728422
2023-02-01,1241.33,3.1450460331704733
2023-03-01,1269.75,2.2894798321155596
2023-04-01,1300.04,2.385508958456395
2023-05-01,1300.6,0.04307559767391389
2023-06-01,1351.59,3.920498231585423
2023-07-01,1479.84,9.488824273633266
2023-08-01,1614.31,9.086793166828855
2023-09-01,1691.04,4.753114333678177
2023-10-01,1749.11,3.433981455199153
2023-11-01,1806.5,3.2810972437411046
2023-12-01,1859.38,2.9272073069471327
2024-01-01,1984.02,6.703309705385663
2024-02-01,2073.88,4.529188213828506
2024-03-01,2139.47,3.162670935637535
2024-04-01,2207.5,3.179759473140553
2024-05-01,2281.85,3.36806342015854
2024-06-01,2319.29,1.6407739334312055
2024-07-01,2394.1,3.2255560969089547
2024-08-01,2453.34,2.474416273338642
2024-09-01,2526.16,2.9681984559824404
2024-10-01,2598.91,2.8798650916806556
2024-11-01,2657.23,2.2440176843369075
2024-12-01,2684.55,1.0281383244958198
2025-01-01,2819.65,5.032500791566563
2025-02-01,2883.75,2.273331796499556
2025-03-01,2954.69,2.4599913307325583
2025-04-01,3043.23,2.9965918590444396
